index,source_length,source,translation
1,13,Loading......,Memuat......
2,28,Press any button to continue,Tekan mana-mana butang
3,3,ON,ON
4,3,OFF,OFF
5,11,User Manual,Manual
6,19,VERSION INFORMATION,MAKLUMAT VERSI
7,10,Hardware:,Hardware:
8,10,Software:,Software:
9,10,Device ID:,ID Alat:
10,28,Press any button to continue,Tekan mana-mana butang
11,17,Check the display,Semak paparan
12,11,Button Test,Uji Butang
13,30,Note:displays the key pressed.,Nota:papar butang ditekan.
14,30,Press <ESC> twice to exit the,Tekan <ESC> dua kali untuk
15,30,test.,keluar ujian.
16,15,<ESC>means exit,<ESC> keluar
17,12,Key pressed:,Butang:
18,1,%,%
19,1,V,V
20,11,Voltage(AC),Voltan(AC)
21,11,Voltage(DC),Voltan(DC)
22,35,   Min:       V     Max:       V,   Min:       V     Maks:      V
23,35, <HOLD> Hold        <F1> Zeroing, <HOLD> Tahan       <F1> Sifar
24,35, <Fn> Function Mode, <Fn> Mod Fungsi
25,9,PD Resis.,Rint. PD
26,5,HOLD,TAHAN
27,2,AC,AC
28,2,DC,DC
29,11,20A(Yellow),20A(Kuning)
30,11,mA(Green),mA(Hijau)
31,35,   Min:       A     Max:       A,   Min:       A     Maks:      A
32,35, <HOLD> Hold         <F1> Zeroing, <HOLD> Tahan        <F1> Sifar
33,35, <Fn> Function Mode  <F2> 20A/mA, <Fn> Mod Fungsi   <F2> 20A/mA
34,11,Resistance,Rintangan
35,20, Diode:, Diod:
36,20,Diode/Low Resistance,Diod/Rint. Rendah
37,23, Resistance:, Rintangan:
38,35, <HOLD> Hold        <F1> Zeroing, <HOLD> Tahan       <F1> Sifar
39,5,Trig.,Trig.
40,3,div,div
41,33,U:      V Min:      V Max:      V,U:      V Min:      V Maks:     V
42,21,Frequency Measurement,Ukur Frekuensi
43,28,<Fn>to signal detec.(f<6000),<Fn> kesan isyarat(f<6000)
44,3,rpm,rpm
45,23,<Fn>to signal detection,<Fn> ke kesan isyarat
46,29,Contact Resistance:,Rintangan Sentuh:
47,28,Sine wave/square wave output,Output sinus/petak
48,21,Frequency:         Hz,Frekuensi:        Hz
49,21,Duty Cycle:        %,Duty Cycle:       %
50,27,<F1><F2> Duty Cycle Setting,<F1><F2> Tetap Duty Cycle
51,33,Sensor:   Min:      V Max:      V,Sensor:   Min:      V Maks:     V
52,12,rpm 2Stroke,rpm 2Lejang
53,12,rpm 4Stroke,rpm 4Lejang
54,12,Distributor,Distributor
55,12,K/Lin data:,Data K/Lin:
56,35,<F1>Clear  <Fn><LEFT><RIGHT>set BPS,<F1>Padam <Fn><LEFT><RIGHT> BPS
57,13,CANBUS data:,Data CANBUS:
58,35,<F1>Clear  <Fn><LEFT><RIGHT>set BPS,<F1>Padam <Fn><LEFT><RIGHT> BPS
59,22, <Fn> Function Mode, <Fn> Mod Fungsi
60,22,Calendar/Time Settings,Tetapan Kalendar/Masa
61,15,System Settings,Tetapan Sistem
62,14,Basic Settings,Tetapan Asas
63,13,Time Settings,Tetapan Masa
64,9,Language,Bahasa
65,8,Key Tone,Bunyi
66,10,Brightness,Kecerahan
67,33,Calibrate the voltage with probe.,Tentukur voltan dengan probe.
68,29,Connect probe to the battery.,Sambung probe ke bateri.
69,33, <UP> <Down> Adjust actual value, <UP> <Down> Laras nilai sebenar
70,34, <ESC> Exit             <OK> SAVE, <ESC> Keluar          <OK> SIMPAN
71,11,Sleep time,Masa tidur
72,5, Min, min
73,24, Press <OK> to continue, Tekan <OK> untuk terus
74,22,Supply Voltage:      V,Voltan Bekal:       V
75,35, <UP>Short to B+  <DOWN>Short to B-, <UP>Pintas B+ <DOWN>Pintas B-
76,18,Wrong Connection!!,Sambungan salah!!
77,30,Calibration Voltage of Battery,Tentukur Voltan Bateri
78,26,Conect to Vehicle battery!,Sambung bateri kenderaan!
79,28,Calibration the current(mA),Tentukur arus(mA)
80,29,Conect to Signal current(mA)!,Sambung ke isyarat arus(mA)!
81,35,Calibration Vehicle Circuit Voltage,Tentukur Voltan Litar Kenderaan
82,26,Conect to Signal Voltage !,Sambung ke isyarat voltan!
83,23,Calibration current(A),Tentukur arus(A)
84,28,Conect to Signal current(A)!,Sambung ke isyarat arus(A)!
85,3,ON,ON
86,3,OFF,OFF
87,20,Function Description,Huraian Fungsi
88,22,Remote Key(3V)Leakage,Bocor Kunci Jauh(3V)
89,13,Voltage:,Voltan:
90,21,Voltage Signal Output,Output Isyarat Voltan
91,18,(Terminal: C01-S1),(Terminal: C01-S1)
92,18,(Terminal: C01-S2),(Terminal: C01-S2)
93,21,square wave：,gelombang petak:
94,21,Adj. Voltage：,Laras Voltan:
95,26,<F1><F2> Frequency Setting,<F1><F2> Tetap Frekuensi
96,32,,
97,32,Please turn off the engine first,"Matikan enjin dahulu, pilih"
98,32,", choose the C01 line + C02 line","kabel C01 dan C02, kemudian"
99,32,", and connect the two poles of",sambungkan kedua-dua terminal
100,32,the car battery.,bateri kenderaan.
101,32,,
102,32,,
103,32,,
104,32,Drive the fuel injector: Choose,Pacu penyuntik bahan api: pilih
105,32,the C01 line to connect the fuel,kabel C01 untuk sambung ke
106,32,"injector, and then connect the","penyuntik, kemudian sambungkan"
107,32,car battery.,bateri kenderaan. Untuk kesan
108,32,Detect fuel injection signal: co,"isyarat suntikan, probe hitam ke"
109,32,nnect the black probe to the veh,ground kenderaan dan probe merah
110,32,"icle ground, and the red probe","ke pin penyuntik, lalu tekan"
111,32,"to the fuel injector pin, press",<Fn>.
112,32,<Fn> to enter the test.,
113,32,,
114,32,Drive the relay coil: Choose the,Pacu gegelung relay: pilih kabel
115,32, C01 line to connect to the rela,"C01 ke relay, sambungkan bateri,"
116,32," y, then connect the car battery",kemudian tekan <OK> untuk
117,32," , press <OK> to drive the relay",mengaktifkan relay.
118,32, to work.,
119,32,,
120,32,,
121,32,,
122,32,Analog signal output: square wav,Output isyarat analog: gelombang
123,32,"e is output from C01-K line, the",petak keluar dari talian C01-K.
124,32,normal output signal voltage is,Voltan isyarat biasa kira-kira
125,32,"about 4.5V, the max.output frequ",4.5V dan frekuensi maksimum
126,32,"ency is 10KHz, when it is lower","10KHz. Di bawah 5KHz, probe"
127,32,"than 5KHz, you can use the probe",boleh digunakan untuk menyemak
128,32," to detect the signal waveform,",bentuk gelombang; tekan <Fn>
129,32, press the <Fn> to check the sig,untuk semak isyarat.
130,32, nal.,
131,32,Choose the C04 special line for,Pilih kabel khas C04 untuk
132,32,"automotive circuit detection, an",pemeriksaan litar automotif dan
133,32,d connect the two poles of the,sambungkan terminal bateri
134,32,car battery correctly. See the,dengan betul. Rujuk paparan
135,32,"voltage display, press up button",voltan. Tekan UP untuk output
136,32,for positive output through the,"positif melalui probe, dan DOWN"
137,32,"probe,and press down button for",untuk output negatif. Merah
138,32,negative output. Red means the,bermaksud voltan probe hampir
139,32,probe voltage is close to the ba,dengan voltan bateri; biru
140,32,"ttery voltage, blue means the pr",bermaksud voltan terlalu rendah
141,32,obe voltage is too low and there,atau ada kebocoran.
142,32, is leakage.,
143,32,,
144,32,,
145,32,,
146,32,Please disconnect the power supp,Putus kuasa dan sambung semula
147,32,ly and reconnect the positive an,terminal + dan - dengan betul.
148,32,d negative poles correctly.,
149,32,,
150,32,,
151,32,,
152,32,电压信号输出：电压从C01-S1线输出,Output voltan dari C01-S1. Julat
153,32,",可设置输出信号电压0--4.5V，同时",0-4.5V. Gunakan probe untuk
154,32,可以使用表笔检测电路波形，按<Fn>,semak gelombang. Tekan <Fn>
155,32,键检查信。,semak isyarat.
156,32,,
157,32,,
158,32,,
159,18,LANGUAGE SELECTION,PILIHAN BAHASA
160,27,Please start the engine and,Hidupkan enjin dan
161,27,run for 15 seconds,biar 15 saat
162,13,Start-up Test,Ujian Mula
163,16,start the engine,hidupkan enjin
164,24,Min.voltage value > 9.6V,Voltan min > 9.6V
165,25,Min.voltage value > 19.2V,Voltan min > 19.2V
166,18,Fuel Injector Test,Ujian Penyuntik
167,21,Automotive Relay Test,Ujian Relay Auto
168,20,Simulated Engine RPM,RPM Enjin Simulasi
169,22, Press <OK> to output, Tekan <OK> output
170,22, Press <OK> to stop, Tekan <OK> henti
171,13,Output Status,Status Output
172,18,Real-time voltage:,Voltan masa nyata:
173,16,Minimum Voltage:,Voltan Minimum:
174,19,       Normal,       Normal
175,19,Voltage is too low.,Voltan rendah.
176,27,Car Circuit Inspection Test,Ujian Litar Kenderaan
177,14,1.Boot Screen,1.Skrin Mula
178,21,2.Voltage Measurement,2.Ukur Voltan
179,21,3.Current Measurement,3.Ukur Arus
180,24,4.Resistance Measurement,4.Ukur Rintangan
181,14,5.Oscilloscope,5.Osiloskop
182,30,6.Automotive circuit detection,6.Kesan litar auto
183,23,7.Battery cranking test,7.Ujian cranking bateri
184,15,8.Injector test,8.Uji injektor
185,12,9.Relay test,9.Uji relay
186,21,10.Analog signal test,10.Uji isyarat analog
187,22,11.Ignition Pulse Test,11.Ujian nadi nyalaan
188,23,12.K/Lin Data Detection,12.Kesan Data K/Lin
189,26,13.CAN Line Data Detection,13.Kesan Data CAN
190,24,14.Frequency Measurement,14.Ukur Frekuensi
191,14,1.Boot Screen,1.Skrin Mula
192,21,2.Voltage Measurement,2.Ukur Voltan
193,21,3.Current Measurement,3.Ukur Arus
194,24,4.Resistance Measurement,4.Ukur Rintangan
195,14,5.Oscilloscope,5.Osiloskop
196,21,6.Ignition Pulse Test,6.Ujian nadi nyalaan
197,23,7.Frequency Measurement,7.Ukur Frekuensi
198,14,1.Boot Screen,1.Skrin Mula
199,21,2.Voltage Measurement,2.Ukur Voltan
200,21,3.Current Measurement,3.Ukur Arus
201,24,4.Resistance Measurement,4.Ukur Rintangan
202,14,5.Oscilloscope,5.Osiloskop
203,26,6.Adj. Voltage signal Test,6.Ujian isyarat voltan
204,20,7.Analog signal test,7.Uji isyarat analog
205,13,1.Boot Screen,1.Skrin Mula
206,34,"Power on, enter the boot screen, p",Hidupkan peranti dan tunggu skrin
207,34,ress any key to enter the main men,mula. Tekan mana-mana butang untuk
208,34,"u, the battery and charging status",masuk ke menu utama. Status bateri
