index,status,text,source_limit,encoded_length
1,replaced,Memuat......,12,12
2,replaced,Tekan mana-mana butang,29,22
3,replaced,ON ,8,3
4,replaced,OFF,8,3
5,replaced,Manual,17,6
6,replaced,MAKLUMAT VERSI,24,14
7,replaced,Hardware: ,10,10
8,replaced,Software: ,10,10
9,replaced,ID Alat:,14,8
10,replaced,Tekan mana-mana butang,29,22
11,replaced,Semak paparan,25,13
12,replaced,Uji Butang,16,10
13,replaced,Nota:papar butang ditekan.,32,26
14,replaced,Tekan <ESC> dua kali untuk ,30,27
15,replaced,keluar ujian.                ,29,29
16,replaced,ESC keluar ,11,11
17,replaced,Butang:,19,7
20,replaced,Voltan(AC),10,10
21,replaced,Voltan(DC),10,10
22,replaced,   Min:       V     Maks:      V  ,35,34
23,replaced, <HOLD> Tahan       <F1> Sifar    ,35,34
24,replaced, <Fn> Mod Fungsi                  ,36,34
25,replaced,Rint. PD ,9,9
26,replaced,TAHAN,5,5
29,replaced,20A(Kuning),13,11
30,replaced,mA(Hijau) ,13,10
31,replaced,   Min:       A     Maks:      A  ,35,34
32,replaced, <HOLD> Tahan        <F1> Sifar   ,35,34
33,replaced, <Fn> Mod Fungsi   <F2> 20A/mA    ,35,34
34,replaced,Rintangan ,11,10
35,replaced, Diod:              ,20,20
36,replaced,Diod/Rint. Rendah,22,17
37,replaced, Rint.:          ,17,17
38,replaced, <HOLD> Tahan       <F1> Sifar    ,34,34
39,replaced,Trig.,5,5
40,replaced,div,3,3
41,replaced,U:      V Min:      V Maks:     V,33,33
42,replaced,Ukur Frekuensi,23,14
43,replaced,<Fn> kesan isyarat(f<6000),34,26
45,replaced,<Fn> ke kesan isyarat,35,21
46,replaced,Rint. Sentuh:    ,17,17
47,replaced,Output sinus/petak,28,18
48,replaced,Frekuensi:        Hz,26,20
49,replaced,Duty Cycle:       % ,26,20
50,replaced,<F1><F2> Tetap Duty Cycle,29,25
51,replaced,Sensor:   Min:      V Maks:     V,33,33
52,replaced,rpm 2Lejang,12,11
53,replaced,rpm 4Lejang,12,11
54,replaced,Distributor ,12,12
55,replaced,Data K/Lin: ,16,12
56,replaced,<F1>Padam <Fn><LEFT><RIGHT> BPS,34,31
57,replaced,Data CANBUS: ,14,13
58,replaced,<F1>Padam <Fn><LEFT><RIGHT> BPS,34,31
59,replaced, <Fn> Mod Fungsi     ,23,21
60,replaced,Tetapan Kalendar/Masa,35,21
61,replaced,Tetapan Sistem,26,14
62,replaced,Tetapan Asas,22,12
63,replaced,Tetapan Masa,24,12
64,replaced,Bahasa ,7,7
65,replaced,Bunyi,15,5
66,replaced,Cerah ,6,6
67,replaced,Tentukur voltan dg probe.,26,25
