mode,range,unit,reference,observed,latency_ms,noise_high,noise_low,noise_pp,blank_events,samples,notes
oscilloscope,0.1Vdiv_12.5us,V,,,,0.07,-0.03,,0,,"User reported latest scope noise around +0.07 V and -0.03 V; no reference amplitude supplied."
cranking,open,V,,2.88,,,,,,,"User observed about 2.88 V with cranking input open while internal battery is nominal 3.7 V and indicator about 3/4 bars."
ammeter_green,DC,A,,,,,,,1,,"User reports blank/freeze often after DC->AC->DC and worst on green A/mA/uA current input."
ammeter_green,AC,A,,,,,,,1,,"User reports DC->AC->DC current switching can blank reading and sometimes needs power cycle."
ohmmeter,open,ohm,,,,,,,1,,"User reports blank can occur entering ohmmeter and continuity can beep without touch."
voltmeter,DC,V,,,,,,,0,,"No latest quantified V4.0.1b DC voltage blank count supplied; keep for follow-up test."
voltmeter,AC,V,,,,,,,0,,"No latest quantified V4.0.1b AC voltage blank count supplied; keep for follow-up test."
ammeter_green,AC_to_DC,A,,,"30000",,,,1,,"2026-07-14 user report: AC -> DC in ammeter takes about 30 seconds; DC -> AC is under 1 second."
ammeter_green,DC_to_AC,A,,,"1000",,,,0,,"2026-07-14 user report: DC -> AC in ammeter is under 1 second."
voltmeter,DC_zero,V,0.0000,0.000,,,,,0,,"2026-07-14 user report: DC zero is around 0.000V/-0.000V; target requested 0.0000V."
voltmeter,AC_zero,V,0.0000,0.003,,0.003,0.001,0.002,0,,"2026-07-14 user report: AC no-input/zero still jumps about 0.001V to 0.003V."
oscilloscope,0.1Vdiv_12.5us,V,0.000,,,0.08,0.03,0.05,0,,"2026-07-14 user report: scope noise remains about 0.03V to 0.08V."
ignition,0.1V_12.5us,V,0.000,,,0.12,0.01,0.11,0,,"2026-07-14 user report: ignition noise about 0.01V to 0.12V."
signal_generator,wave_output,V,,,,,,,0,,"2026-07-14 user report: generated waveform still not clean; requires external scope validation."
firmware_exp14,field_result,status,,,,,,,1,,"2026-07-14 user report after flashing stream-recovery-exp14: confirmed no visible improvement; continue with exp15 diagnostic-plus-fix build."
