index,offset,record_length,text
1,0x182d,14,Cargando ...
2,0x183b,31,Presione una tecla para cont.
3,0x185a,10,Encender
4,0x1864,10, Apagar 
5,0x186e,19,Manual de usuario
6,0x1881,26,Información de versión
7,0x189b,12,Hardware: 
8,0x18a7,12,Software: 
9,0x18b3,16,ID del equipo:
10,0x18c3,31,Presione una tecla para cont.
11,0x18e2,27,Comprobación de pantalla
12,0x18fd,18,Prueba de teclas
13,0x190f,34,Desc: Mostrar teclas presionadas
14,0x1931,32,Pulse <ESC> 2 veces para salir
15,0x1951,31,veces para salir de la prueba
16,0x1970,13,<ESC> Salir
17,0x197d,21,Teclas presionadas:
18,0x1992,3,%
19,0x1995,3,V
20,0x1998,12,Voltaje AC
21,0x19a4,12,Voltaje DC
22,0x19b0,37,   Min:       V     Max:       V   
23,0x19d5,37, <HOLD> Mantener  <F1>Volver a cero
24,0x19fa,38, <Fn> Modo de función              
25,0x1a20,11,PD Resis.
26,0x1a2b,7,Mant.
27,0x1a32,12,Corrie. AC
28,0x1a3e,12,Corrie. DC
29,0x1a4a,15,20A(amarillo)
30,0x1a59,15, mA(verde)   
31,0x1a68,37,   Min:       A     Max:       A   
32,0x1a8d,37, <HOLD>Mantener   <F1>Volver a cero
33,0x1ab2,37, <Fn>Modo funcional   <F2> 20A/mA  
34,0x1ad7,13,Resistencia
35,0x1ae4,22, Diodo:             
36,0x1afa,24,Diodo/Baja resistencia
37,0x1b12,19,Resistencia:     
38,0x1b25,36, <HOLD>Mantener  <F1>Volver a cero
39,0x1b49,7,Disp.
40,0x1b50,5,div
41,0x1b55,35,U:      V Min:      V Max:      V
42,0x1b78,25,Medición de frecuencia
43,0x1b91,36,<Fn> Detecc. señal entrada (f<6k)
44,0x1bb5,6,Giro
45,0x1bbb,37,<Fn>Detección de señal de entrada
46,0x1be0,19,Resist. Contacto:
47,0x1bf3,30,Salida onda sinuso./cuadrada
48,0x1c11,28,Frecuencia:             Hz
49,0x1c2d,28,Ciclo de trabajo:       % 
50,0x1c49,31,<F1><F2>Config. ciclo trabajo
51,0x1c68,35,Sensor:   Min:      V Max:      V
52,0x1c8b,14,Giro 2trazos
53,0x1c99,14,Giro 4trazos
54,0x1ca7,14,Divisor     
55,0x1cb5,18,Datos de K/Lin: 
56,0x1cc7,36,<F1>Borrar <L><R>config. Velocidad
57,0x1ceb,16,Datos CANBUS: 
58,0x1cfb,36,<F1>Borrar <L><R>config. Velocidad
59,0x1d1f,25, <Fn> Modo de funciones
60,0x1d38,37,Configuración de calendario/tiempo
61,0x1d5d,28,Configuración del sistema
62,0x1d79,24,Configuración básica
63,0x1d91,26,Configuración de tiempo
64,0x1dab,9,Idioma 
65,0x1db4,17,Sonido de tecla
66,0x1dc5,8,Brillo
67,0x1dcd,28,Corr. canal voltaje sondeo
68,0x1de9,36,¡Conecta el sondeo a la batería!
69,0x1e0d,36, <UP> <Down> Ajustar datos reales 
70,0x1e31,36, <ESC> Abandonar     <OK> Guardar 
71,0x1e55,18,Tiempo de sueño
72,0x1e67,7, Min 
73,0x1e6e,36,Presione la tecla <OK> para contin
74,0x1e92,35,Voltaje de alimentación:       V
75,0x1eb5,33,<Arriba> Cc. B+  <Abajo> Cc. B-
76,0x1ed6,30,Error: Conexión incorrecta!
