index,source,translation
1,Cargando ...,Memuat ...  
2,Presione una tecla para cont.,Tekan butang untuk teruskan  
3,Encender,Hidupkan
4, Apagar , Matikan
5,Manual de usuario,Manual pengguna  
6,Información de versión,Maklumat versi          
7,Hardware: ,Hardware: 
8,Software: ,Software: 
9,ID del equipo:,ID peranti:   
10,Presione una tecla para cont.,Tekan butang untuk teruskan  
11,Comprobación de pantalla,Semakan paparan          
12,Prueba de teclas,Ujian butang    
13,Desc: Mostrar teclas presionadas,Nota: Papar butang ditekan      
14,Pulse <ESC> 2 veces para salir,Tekan <ESC> 2 kali utk keluar 
15,veces para salir de la prueba,untuk keluar dari ujian      
16,<ESC> Salir,<ESC>Keluar
17,Teclas presionadas:,Butang ditekan:    
18,%,%
19,V,V
20,Voltaje AC,Voltan AC 
21,Voltaje DC,Voltan DC 
22,   Min:       V     Max:       V   ,   Min:       V     Maks:      V   
23, <HOLD> Mantener  <F1>Volver a cero, <HOLD> Tahan  <F1>Sifar semula    
24, <Fn> Modo de función              , <Fn> Mod fungsi                    
25,PD Resis.,Rint. PD 
26,Mant.,Tahan
27,Corrie. AC,Arus AC   
28,Corrie. DC,Arus DC   
29,20A(amarillo),20A(kuning)  
30, mA(verde)   , mA(hijau)   
31,   Min:       A     Max:       A   ,   Min:       A     Maks:      A   
32, <HOLD>Mantener   <F1>Volver a cero, <HOLD>Tahan   <F1>Sifar semula    
33, <Fn>Modo funcional   <F2> 20A/mA  , <Fn>Mod fungsi   <F2> 20A/mA      
34,Resistencia,Rintangan  
35, Diodo:             , Diod:              
36,Diodo/Baja resistencia,Diod/Rintangan rendah 
37,Resistencia:     ,Rintangan:       
38, <HOLD>Mantener  <F1>Volver a cero, <HOLD>Tahan  <F1>Sifar semula    
39,Disp.,Trig.
40,div,div
41,U:      V Min:      V Max:      V,U:      V Min:      V Maks:     V
42,Medición de frecuencia,Ukur frekuensi         
43,<Fn> Detecc. señal entrada (f<6k),<Fn> Kesan isyarat masukan (f<6k) 
44,Giro,rpm 
